X Y Z
-44.8125 -119.0625 -157.3125
-45.125 -119.125 -157.125
-45.0 -119.125 -156.875
-45.0 -119.25 -156.875
-44.8125 -119.25 -156.9375
-44.4375 -119.5 -156.8125
-44.375 -119.625 -157.375
-44.25 -119.8125 -157.375
-43.6875 -119.625 -157.125
-43.625 -119.5625 -156.6875
-44.0625 -119.3125 -156.625
-44.0 -119.1875 -156.1875
-44.1875 -119.0 -156.0
-44.5 -118.8125 -156.1875
-44.3125 -119.125 -156.5625
-44.125 -119.25 -156.5
-43.9375 -119.375 -156.6875
-43.8125 -119.375 -156.375
-44.25 -119.6875 -156.5625
-44.6875 -119.625 -156.5
-44.75 -119.5 -156.9375
-45.125 -119.375 -156.75
-45.0625 -119.375 -157.25
-44.5625 -119.625 -157.1875
-44.1875 -119.25 -156.875
-44.125 -119.0 -156.0625
-44.1875 -118.9375 -155.8125
-43.75 -118.9375 -155.75
-43.875 -118.9375 -155.875
-44.3125 -119.1875 -156.125
-44.25 -119.4375 -156.5
-44.0 -119.5 -156.8125
-44.8125 -119.4375 -156.4375
-44.8125 -119.25 -156.0625
-44.75 -119.3125 -155.9375
-44.3125 -119.375 -156.3125
-44.25 -119.375 -156.625
-44.0 -119.5 -157.0
-44.3125 -119.125 -157.1875
-44.0 -119.3125 -157.6875
-44.5 -119.3125 -157.4375
-44.625 -118.875 -157.3125
-44.625 -118.8125 -157.4375
-44.1875 -119.0 -157.625
-44.375 -118.8125 -157.25
-44.125 -118.6875 -157.375
-44.25 -119.1875 -157.6875
-44.3125 -119.4375 -157.8125
-44.5 -119.4375 -157.875
-44.6875 -119.4375 -158.0
-45.25 -119.5 -158.375
-45.1875 -119.625 -158.25
-45.1875 -119.75 -157.6875
-45.25 -119.8125 -157.25
-45.4375 -119.625 -156.9375
-44.9375 -119.5 -156.4375
-44.625 -119.4375 -156.3125
-44.6875 -119.0625 -156.4375
-44.75 -119.5 -156.4375
-44.4375 -119.3125 -156.5625
-44.25 -119.625 -156.5625
-44.375 -119.6875 -156.0
-44.1875 -119.5625 -155.6875
-44.3125 -119.125 -155.6875
-44.4375 -118.9375 -155.75
-44.8125 -118.6875 -155.875
-44.625 -118.5625 -156.125
-44.3125 -118.75 -156.3125
-44.125 -118.75 -156.625
-43.9375 -118.9375 -156.5
-43.875 -118.9375 -156.6875
-44.3125 -119.0625 -156.5
-44.5625 -119.0 -156.5625
-44.25 -119.125 -156.5625
-44.4375 -119.125 -156.375
-44.1875 -119.5 -156.25
-44.25 -119.5625 -156.375
-44.125 -119.6875 -156.75
-44.1875 -119.375 -156.6875
-43.8125 -119.375 -156.875
-44.125 -118.5625 -156.625
-43.8125 -118.125 -156.625
-43.9375 -117.8125 -156.4375
-44.25 -117.9375 -156.5625
-44.375 -118.0625 -156.6875
-44.125 -118.8125 -157.0625
-44.1875 -118.6875 -156.875
-43.75 -119.3125 -157.0
-43.8125 -119.125 -156.9375
-43.8125 -119.125 -157.0
-43.875 -118.9375 -156.9375
-44.0 -119.4375 -157.125
-44.1875 -119.0625 -156.875
-44.1875 -118.875 -157.0625
-44.4375 -118.8125 -157.0625
-44.1875 -119.125 -156.8125
-44.25 -118.8125 -156.8125
-44.375 -118.5625 -156.75
-44.4375 -119.3125 -156.5625
-43.8125 -119.625 -156.375
-44.4375 -119.5 -156.6875
-44.1875 -119.3125 -156.5
-44.3125 -119.375 -156.25
-44.1875 -118.8125 -156.0
-44.6875 -118.625 -155.8125
-44.375 -118.1875 -155.125
-44.625 -118.3125 -155.0
-44.5625 -118.1875 -155.1875
-44.4375 -118.25 -155.3125
-44.625 -118.1875 -155.3125
-44.625 -118.4375 -155.75
-44.25 -118.3125 -155.875
-44.3125 -118.5 -156.3125
-44.3125 -118.3125 -156.4375
-44.375 -118.5625 -156.625
-44.8125 -118.1875 -156.625
-44.8125 -118.25 -157.0625
-44.5 -118.125 -156.625
-44.1875 -118.5625 -156.1875
-44.0 -118.3125 -155.875
-43.1875 -118.625 -155.8125
-43.75 -118.875 -155.5625
-44.125 -119.0625 -155.75
-44.4375 -119.125 -156.4375
-44.375 -119.0625 -156.75
-45.0 -118.9375 -156.5
-44.5 -118.5625 -156.5
-44.25 -118.25 -156.125
-43.875 -118.625 -155.6875
-44.375 -118.75 -155.5
-44.125 -118.875 -155.8125
-44.3125 -119.4375 -155.8125
-44.5625 -119.5625 -156.3125
-45.25 -119.3125 -156.75
-45.0625 -119.5 -156.875
-45.0625 -119.5625 -156.875
-45.1875 -119.0625 -157.0
-45.0625 -119.5 -157.1875
-44.6875 -119.8125 -156.875
-44.6875 -119.5625 -157.0
-44.5625 -119.5 -157.0625
-44.5625 -119.625 -157.375
-44.625 -119.25 -157.0625
-44.4375 -118.8125 -157.1875
-44.0625 -118.625 -157.1875
-44.125 -118.1875 -157.0625
-43.3125 -118.125 -156.375
-42.75 -117.875 -156.25
-42.75 -118.0625 -156.25
-43.0 -118.125 -156.0
-43.1875 -118.375 -155.875
-43.8125 -118.25 -155.9375
-44.4375 -118.3125 -155.75
-44.875 -118.3125 -155.75
-44.6875 -118.5625 -155.875
